file,path,prediction,energy
931.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Jacobaea vulgaris/931.jpg,usable,-1.3130587
950.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Jacobaea vulgaris/950.jpg,unusable,-1.2886753
832.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Jacobaea vulgaris/832.jpg,usable,-1.3132616
826.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Jacobaea vulgaris/826.jpg,usable,-1.2476947
289.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Jacobaea vulgaris/289.jpg,usable,-1.3132616
72.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Jacobaea vulgaris/72.jpg,usable,-1.3132613
28.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Jacobaea vulgaris/28.jpg,usable,-1.278123
85.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Jacobaea vulgaris/85.jpg,usable,-1.2952983
210.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Jacobaea vulgaris/210.jpg,unusable,-1.2403247
222.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Jacobaea vulgaris/222.jpg,usable,-1.3132616
468.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Jacobaea vulgaris/468.jpg,usable,-1.3132541
727.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Jacobaea vulgaris/727.jpg,usable,-1.3132616
516.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Jacobaea vulgaris/516.jpg,usable,-1.2763667
936.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Jacobaea vulgaris/936.jpg,usable,-1.313261
