file,path,prediction,energy
0.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/0.jpg,unusable,-1.3062131
1.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/1.jpg,usable,-1.3131648
10.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/10.jpg,unusable,-1.3021585
100.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/100.jpg,usable,-1.2483912
101.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/101.jpg,usable,-1.3131793
102.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/102.jpg,usable,-1.3129151
103.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/103.jpg,usable,-1.225672
104.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/104.jpg,usable,-1.3102694
105.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/105.jpg,unusable,-1.2072308
106.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/106.jpg,unusable,-1.3009815
107.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/107.jpg,usable,-1.3005079
108.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/108.jpg,unusable,-1.1979724
109.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/109.jpg,unusable,-1.2059753
11.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/11.jpg,usable,-1.3131758
110.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/110.jpg,unusable,-1.209022
111.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/111.jpg,unusable,-1.20892
112.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/112.jpg,unusable,-1.3132383
113.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/113.jpg,usable,-1.3132153
114.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/114.jpg,usable,-1.3103883
116.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/116.jpg,unusable,-1.3071382
117.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/117.jpg,usable,-1.2254734
118.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/118.jpg,usable,-1.2780616
119.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/119.jpg,unusable,-1.3129121
12.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/12.jpg,unusable,-1.2597494
120.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/120.jpg,usable,-1.2270961
121.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/121.jpg,usable,-1.2895612
122.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/122.jpg,usable,-1.3127661
123.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/123.jpg,usable,-1.3023039
124.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/124.jpg,usable,-1.3102198
125.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/125.jpg,usable,-1.3127463
126.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/126.jpg,usable,-1.3111379
127.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/127.jpg,usable,-1.3117748
128.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/128.jpg,usable,-1.3132236
129.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/129.jpg,unusable,-1.3013968
13.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/13.jpg,usable,-1.313145
130.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/130.jpg,unusable,-1.2900069
131.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/131.jpg,unusable,-1.3113177
132.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/132.jpg,usable,-1.3130666
133.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/133.jpg,usable,-1.3130836
134.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/134.jpg,unusable,-1.3132616
135.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/135.jpg,unusable,-1.3019216
136.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/136.jpg,unusable,-1.2019675
137.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/137.jpg,usable,-1.2886535
138.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/138.jpg,unusable,-1.2681168
139.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/139.jpg,unusable,-1.1955588
14.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/14.jpg,usable,-1.3120719
140.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/140.jpg,usable,-1.2824109
141.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/141.jpg,unusable,-1.212409
142.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/142.jpg,unusable,-1.2768741
143.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/143.jpg,usable,-1.2348659
144.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/144.jpg,usable,-1.2702061
145.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/145.jpg,unusable,-1.3111594
146.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/146.jpg,unusable,-1.2540251
147.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/147.jpg,unusable,-1.206047
148.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/148.jpg,usable,-1.3122972
149.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/149.jpg,unusable,-1.293045
15.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/15.jpg,usable,-1.3132608
150.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/150.jpg,usable,-1.3132403
151.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/151.jpg,usable,-1.3132468
152.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/152.jpg,usable,-1.3130991
153.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/153.jpg,unusable,-1.1959773
154.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/154.jpg,unusable,-1.2532539
155.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/155.jpg,unusable,-1.313257
156.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/156.jpg,unusable,-1.3132597
157.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/157.jpg,unusable,-1.3124721
158.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/158.jpg,usable,-1.3130643
159.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/159.jpg,unusable,-1.202106
16.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/16.jpg,usable,-1.3070444
160.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/160.jpg,usable,-1.3078234
161.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/161.jpg,usable,-1.3101596
162.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/162.jpg,usable,-1.2497835
163.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/163.jpg,unusable,-1.2532959
164.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/164.jpg,unusable,-1.3132417
165.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/165.jpg,unusable,-1.3130829
166.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/166.jpg,usable,-1.3079196
167.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/167.jpg,unusable,-1.2121546
168.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/168.jpg,usable,-1.2883109
169.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/169.jpg,usable,-1.252176
17.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/17.jpg,unusable,-1.3094325
170.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/170.jpg,unusable,-1.311527
171.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/171.jpg,unusable,-1.3132286
172.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/172.jpg,unusable,-1.2690207
173.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/173.jpg,usable,-1.2955859
174.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/174.jpg,usable,-1.313254
175.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/175.jpg,unusable,-1.3098702
176.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/176.jpg,unusable,-1.1931677
177.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/177.jpg,unusable,-1.27528
178.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/178.jpg,unusable,-1.3127164
179.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/179.jpg,usable,-1.2694509
18.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/18.jpg,usable,-1.1954701
180.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/180.jpg,unusable,-1.302436
181.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/181.jpg,unusable,-1.2052718
182.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/182.jpg,usable,-1.307078
183.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/183.jpg,unusable,-1.3132598
184.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/184.jpg,unusable,-1.3132616
185.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/185.jpg,usable,-1.2992601
186.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/186.jpg,usable,-1.1933334
187.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/187.jpg,usable,-1.2999747
188.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/188.jpg,usable,-1.3084084
189.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/189.jpg,usable,-1.3131984
190.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/190.jpg,unusable,-1.3132348
191.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/191.jpg,usable,-1.3105168
192.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/192.jpg,usable,-1.1978803
193.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/193.jpg,usable,-1.3048878
194.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/194.jpg,unusable,-1.3132272
195.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/195.jpg,usable,-1.3131425
197.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/197.jpg,usable,-1.3036568
198.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/198.jpg,usable,-1.3041728
199.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/199.jpg,usable,-1.3076475
2.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/2.jpg,unusable,-1.3087792
20.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/20.jpg,usable,-1.3120143
200.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/200.jpg,unusable,-1.2798213
201.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/201.jpg,unusable,-1.2016048
202.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/202.jpg,usable,-1.3128697
203.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/203.jpg,unusable,-1.2693715
204.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/204.jpg,unusable,-1.3123662
207.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/207.jpg,usable,-1.3132614
208.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/208.jpg,unusable,-1.3132114
21.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/21.jpg,usable,-1.312731
210.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/210.jpg,usable,-1.3092717
211.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/211.jpg,usable,-1.3126893
212.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/212.jpg,unusable,-1.3127348
213.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/213.jpg,usable,-1.2893384
214.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/214.jpg,usable,-1.3131633
215.jpg,/home/ctristan/Documents/devlearning/PythonProjects/FieldGuidePrototype/training_data/Acer circinatum/215.jpg,usable,-1.3130863
